"","name","layout","cmc","power","toughness","release_year","color_identity","text","text_num"
"1274","Ondu Champion","normal",4,4,3,2015,"['R']","Rally — Whenever Ondu Champion or another Ally enters the battlefield under your control, creatures you control gain trample until end of turn.",143
"1275","Reckless Cohort","normal",2,2,2,2015,"['R']","Reckless Cohort attacks each combat if able unless you control another Ally.",76
"1276","Shatterskull Recruit","normal",5,4,4,2015,"['R']","Menace (This creature can't be blocked except by two or more creatures.)",72
"1277","Tunneling Geopede","normal",3,3,2,2015,"['R']","Landfall — Whenever a land enters the battlefield under your control, Tunneling Geopede deals 1 damage to each opponent.",120
"1278","Valakut Invoker","normal",3,2,3,2015,"['R']","{8}: Valakut Invoker deals 3 damage to any target.",50
"1279","Valakut Predator","normal",3,2,2,2015,"['R']","Landfall — Whenever a land enters the battlefield under your control, Valakut Predator gets +2/+2 until end of turn.",116
"1280","Zada, Hedron Grinder","normal",4,3,3,2015,"['R']","Whenever you cast an instant or sorcery spell that targets only Zada, Hedron Grinder, copy that spell for each other creature you control that the spell could target. Each copy targets a different one of those creatures.",220
"1281","Blisterpod","normal",1,1,1,2015,"['G']","Devoid (This card has no color.)
When Blisterpod dies, create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}.""",150
"1282","Brood Monitor","normal",6,3,3,2015,"['G']","Devoid (This card has no color.)
When Brood Monitor enters the battlefield, create three 1/1 colorless Eldrazi Scion creature tokens. They have ""Sacrifice this creature: Add {C}.""",179
"1283","Eyeless Watcher","normal",4,1,1,2015,"['G']","Devoid (This card has no color.)
When Eyeless Watcher enters the battlefield, create two 1/1 colorless Eldrazi Scion creature tokens. They have ""Sacrifice this creature: Add {C}.""",179
"1284","Void Attendant","normal",3,2,3,2015,"['G']","Devoid (This card has no color.)
{1}{G}, Put a card an opponent owns from exile into that player's graveyard: Create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}.""",205
"1285","Beastcaller Savant","normal",2,1,1,2015,"['G']","Haste
{T}: Add one mana of any color. Spend this mana only to cast a creature spell.",84
"1286","Broodhunter Wurm","normal",4,4,3,2015,"['G']","",0
"1287","Greenwarden of Murasa","normal",6,5,4,2015,"['G']","When Greenwarden of Murasa enters the battlefield, you may return target card from your graveyard to your hand.
When Greenwarden of Murasa dies, you may exile it. If you do, return target card from your graveyard to your hand.",226
"1288","Jaddi Offshoot","normal",1,0,3,2015,"['G']","Defender
Landfall — Whenever a land enters the battlefield under your control, you gain 1 life.",95
"1289","Lifespring Druid","normal",3,2,1,2015,"['G']","{T}: Add one mana of any color.",31
"1290","Murasa Ranger","normal",4,3,3,2015,"['G']","Landfall — Whenever a land enters the battlefield under your control, you may pay {3}{G}. If you do, put two +1/+1 counters on Murasa Ranger.",141
"1291","Oran-Rief Invoker","normal",2,2,2,2015,"['G']","{8}: Oran-Rief Invoker gets +5/+5 and gains trample until end of turn.",70
"1292","Plated Crusher","normal",7,7,6,2015,"['G']","Trample
Hexproof (This creature can't be the target of spells or abilities your opponents control.)",99
"1293","Rot Shambler","normal",2,1,1,2015,"['G']","Whenever another creature you control dies, put a +1/+1 counter on Rot Shambler.",80
"1294","Snapping Gnarlid","normal",2,2,2,2015,"['G']","Landfall — Whenever a land enters the battlefield under your control, Snapping Gnarlid gets +1/+1 until end of turn.",116
"1295","Tajuru Beastmaster","normal",6,5,5,2015,"['G']","Rally — Whenever Tajuru Beastmaster or another Ally enters the battlefield under your control, creatures you control get +1/+1 until end of turn.",145
"1296","Tajuru Stalwart","normal",3,0,1,2015,"['G']","Converge — Tajuru Stalwart enters the battlefield with a +1/+1 counter on it for each color of mana spent to cast it.",117
"1297","Tajuru Warcaller","normal",5,2,1,2015,"['G']","Rally — Whenever Tajuru Warcaller or another Ally enters the battlefield under your control, creatures you control get +2/+2 until end of turn.",143
"1298","Undergrowth Champion","normal",3,2,2,2015,"['G']","If damage would be dealt to Undergrowth Champion while it has a +1/+1 counter on it, prevent that damage and remove a +1/+1 counter from Undergrowth Champion.
Landfall — Whenever a land enters the battlefield under your control, put a +1/+1 counter on Undergrowth Champion.",273
"1299","Woodland Wanderer","normal",4,2,2,2015,"['G']","Vigilance, trample
Converge — Woodland Wanderer enters the battlefield with a +1/+1 counter on it for each color of mana spent to cast it.",138
"1300","Brood Butcher","normal",5,3,3,2015,"['B', 'G']","Devoid (This card has no color.)
When Brood Butcher enters the battlefield, create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}.""
{B}{G}, Sacrifice a creature: Target creature gets -2/-2 until end of turn.",247
"1301","Catacomb Sifter","normal",3,2,3,2015,"['B', 'G']","Devoid (This card has no color.)
When Catacomb Sifter enters the battlefield, create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}.""
Whenever another creature you control dies, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)",318
"1302","Dust Stalker","normal",4,5,3,2015,"['B', 'R']","Devoid (This card has no color.)
Haste
At the beginning of each end step, if you control no other colorless creatures, return Dust Stalker to its owner's hand.",159
"1303","Fathom Feeder","normal",2,1,1,2015,"['B', 'U']","Devoid (This card has no color.)
Deathtouch
Ingest (Whenever this creature deals combat damage to a player, that player exiles the top card of their library.)
{3}{U}{B}: Draw a card. Each opponent exiles the top card of their library.",234
"1304","Forerunner of Slaughter","normal",2,3,2,2015,"['B', 'R']","Devoid (This card has no color.)
{1}: Target colorless creature gains haste until end of turn.",94
"1305","Herald of Kozilek","normal",3,2,4,2015,"['R', 'U']","Devoid (This card has no color.)
Colorless spells you cast cost {1} less to cast.",81
"1306","Sire of Stagnation","normal",6,5,7,2015,"['B', 'U']","Devoid (This card has no color.)
Whenever a land enters the battlefield under an opponent's control, that player exiles the top two cards of their library and you draw two cards.",178
"1307","Ulamog's Nullifier","normal",4,2,3,2015,"['B', 'U']","Devoid (This card has no color.)
Flash
Flying
When Ulamog's Nullifier enters the battlefield, you may put two cards your opponents own from exile into their owners' graveyards. If you do, counter target spell.",209
"1308","Angelic Captain","normal",5,4,3,2015,"['R', 'W']","Flying
Whenever Angelic Captain attacks, it gets +1/+1 until end of turn for each other attacking Ally.",103
"1309","Drana's Emissary","normal",3,2,2,2015,"['B', 'W']","Flying
At the beginning of your upkeep, each opponent loses 1 life and you gain 1 life.",87
"1310","Grove Rumbler","normal",4,3,3,2015,"['G', 'R']","Trample
Landfall — Whenever a land enters the battlefield under your control, Grove Rumbler gets +2/+2 until end of turn.",121
"1311","Grovetender Druids","normal",4,3,3,2015,"['G', 'W']","Rally — Whenever Grovetender Druids or another Ally enters the battlefield under your control, you may pay {1}. If you do, create a 1/1 green Plant creature token.",163
"1312","Munda, Ambush Leader","normal",4,3,4,2015,"['R', 'W']","Haste
Rally — Whenever Munda, Ambush Leader or another Ally enters the battlefield under your control, you may look at the top four cards of your library. If you do, reveal any number of Ally cards from among them, then put those cards on top of your library in any order and the rest on the bottom in any order.",312
"1313","Noyan Dar, Roil Shaper","normal",5,4,4,2015,"['U', 'W']","Whenever you cast an instant or sorcery spell, you may put three +1/+1 counters on target land you control. If you do, that land becomes a 0/0 Elemental creature with haste that's still a land.",193
"1314","Omnath, Locus of Rage","normal",7,5,5,2015,"['G', 'R']","Landfall — Whenever a land enters the battlefield under your control, create a 5/5 red and green Elemental creature token.
Whenever Omnath, Locus of Rage or another Elemental you control dies, Omnath deals 3 damage to any target.",229
"1315","Resolute Blademaster","normal",5,2,2,2015,"['R', 'W']","Rally — Whenever Resolute Blademaster or another Ally enters the battlefield under your control, creatures you control gain double strike until end of turn.",156
"1316","Skyrider Elf","normal",2,0,0,2015,"['G', 'U']","Flying
Converge — Skyrider Elf enters the battlefield with a +1/+1 counter on it for each color of mana spent to cast it.",121
"1317","Akroan Phalanx","normal",4,3,3,2014,"['R', 'W']","Vigilance
{2}{R}: Creatures you control get +1/+0 until end of turn.",68
"1318","Akroan Skyguard","normal",2,1,1,2014,"['W']","Flying
Heroic — Whenever you cast a spell that targets Akroan Skyguard, put a +1/+1 counter on Akroan Skyguard.",111
"1319","Archetype of Courage","normal",3,2,2,2014,"['W']","Creatures you control have first strike.
Creatures your opponents control lose first strike and can't have or gain first strike.",128
"1320","Brimaz, King of Oreskos","normal",3,3,4,2014,"['W']","Vigilance
Whenever Brimaz, King of Oreskos attacks, create a 1/1 white Cat Soldier creature token with vigilance that's attacking.
Whenever Brimaz blocks a creature, create a 1/1 white Cat Soldier creature token with vigilance that's blocking that creature.",257
"1321","Eidolon of Countless Battles","normal",3,0,0,2014,"['W']","Bestow {2}{W}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
Eidolon of Countless Battles and enchanted creature each get +1/+1 for each creature you control and +1/+1 for each Aura you control.",301
"1322","Elite Skirmisher","normal",3,3,1,2014,"['W']","Heroic — Whenever you cast a spell that targets Elite Skirmisher, you may tap target creature.",94
"1323","Ghostblade Eidolon","normal",3,1,1,2014,"['W']","Bestow {5}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
Double strike (This creature deals both first-strike and regular combat damage.)
Enchanted creature gets +1/+1 and has double strike.",298
"1324","God-Favored General","normal",2,1,1,2014,"['W']","Inspired — Whenever God-Favored General becomes untapped, you may pay {2}{W}. If you do, create two 1/1 white Soldier enchantment creature tokens.",146
"1325","Great Hart","normal",4,2,4,2014,"['W']","",0
"1326","Griffin Dreamfinder","normal",5,1,4,2014,"['W']","Flying
When Griffin Dreamfinder enters the battlefield, return target enchantment card from your graveyard to your hand.",120
"1327","Hero of Iroas","normal",2,2,2,2014,"['W']","Aura spells you cast cost {1} less to cast.
Heroic — Whenever you cast a spell that targets Hero of Iroas, put a +1/+1 counter on Hero of Iroas.",144
"1328","Loyal Pegasus","normal",1,2,1,2014,"['W']","Flying
Loyal Pegasus can't attack or block alone.",49
"1329","Nyxborn Shieldmate","normal",1,1,2,2014,"['W']","Bestow {2}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
Enchanted creature gets +1/+2.",195
"1330","Oreskos Sun Guide","normal",2,2,2,2014,"['W']","Inspired — Whenever Oreskos Sun Guide becomes untapped, you gain 2 life.",72
"1331","Ornitharch","normal",5,3,3,2014,"['W']","Flying
Tribute 2 (As this creature enters the battlefield, an opponent of your choice may put two +1/+1 counters on it.)
When Ornitharch enters the battlefield, if tribute wasn't paid, create two 1/1 white Bird creature tokens with flying.",239
"1332","Spirit of the Labyrinth","normal",2,3,1,2014,"['W']","Each player can't draw more than one card each turn.",52
"1333","Vanguard of Brimaz","normal",2,2,2,2014,"['W']","Vigilance
Heroic — Whenever you cast a spell that targets Vanguard of Brimaz, create a 1/1 white Cat Soldier creature token with vigilance.",139
"1334","Aerie Worshippers","normal",4,2,4,2014,"['U']","Inspired — Whenever Aerie Worshippers becomes untapped, you may pay {2}{U}. If you do, create a 2/2 blue Bird enchantment creature token with flying.",149
"1335","Archetype of Imagination","normal",6,3,2,2014,"['U']","Creatures you control have flying.
Creatures your opponents control lose flying and can't have or gain flying.",110
"1336","Chorus of the Tides","normal",4,3,2,2014,"['U']","Flying
Heroic — Whenever you cast a spell that targets Chorus of the Tides, scry 1. (To scry 1, look at the top card of your library, then you may put that card on the bottom of your library.)",192
"1337","Deepwater Hypnotist","normal",2,2,1,2014,"['U']","Inspired — Whenever Deepwater Hypnotist becomes untapped, target creature an opponent controls gets -3/-0 until end of turn.",124
"1338","Flitterstep Eidolon","normal",2,1,1,2014,"['U']","Bestow {5}{U} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
Flitterstep Eidolon can't be blocked.
Enchanted creature gets +1/+1 and can't be blocked.",254
"1339","Floodtide Serpent","normal",5,4,4,2014,"['U']","Floodtide Serpent can't attack unless you return an enchantment you control to its owner's hand. (This cost is paid as attackers are declared.)",143
"1340","Kraken of the Straits","normal",7,6,6,2014,"['U']","Creatures with power less than the number of Islands you control can't block Kraken of the Straits.",99
"1341","Meletis Astronomer","normal",2,1,3,2014,"['U']","Heroic — Whenever you cast a spell that targets Meletis Astronomer, look at the top three cards of your library. You may reveal an enchantment card from among them and put it into your hand. Put the rest on the bottom of your library in any order.",247
"1342","Mindreaver","normal",2,2,1,2014,"['U']","Heroic — Whenever you cast a spell that targets Mindreaver, exile the top three cards of target player's library.
{U}{U}, Sacrifice Mindreaver: Counter target spell with the same name as a card exiled with Mindreaver.",217
"1343","Nyxborn Triton","normal",3,2,3,2014,"['U']","Bestow {4}{U} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
Enchanted creature gets +2/+3.",195
"1344","Perplexing Chimera","normal",5,3,3,2014,"['U']","Whenever an opponent casts a spell, you may exchange control of Perplexing Chimera and that spell. If you do, you may choose new targets for the spell. (If the spell becomes a permanent, you control that permanent.)",215
"1345","Siren of the Fanged Coast","normal",5,1,1,2014,"['U']","Flying
Tribute 3 (As this creature enters the battlefield, an opponent of your choice may put three +1/+1 counters on it.)
When Siren of the Fanged Coast enters the battlefield, if tribute wasn't paid, gain control of target creature.",234
"1346","Sphinx's Disciple","normal",5,2,2,2014,"['U']","Flying
Inspired — Whenever Sphinx's Disciple becomes untapped, draw a card.",75
"1347","Vortex Elemental","normal",1,0,1,2014,"['U']","{U}: Put Vortex Elemental and each creature blocking or blocked by it on top of their owners' libraries, then those players shuffle.
{3}{U}{U}: Target creature blocks Vortex Elemental this turn if able.",202
"1348","Archetype of Finality","normal",6,2,3,2014,"['B']","Creatures you control have deathtouch.
Creatures your opponents control lose deathtouch and can't have or gain deathtouch.",122
"1349","Ashiok's Adept","normal",3,1,3,2014,"['B']","Heroic — Whenever you cast a spell that targets Ashiok's Adept, each opponent discards a card.",94
"1350","Black Oak of Odunos","normal",3,0,5,2014,"['B']","Defender
{B}, Tap another untapped creature you control: Black Oak of Odunos gets +1/+1 until end of turn.",106
"1351","Champion of Stray Souls","normal",6,4,4,2014,"['B']","{3}{B}{B}, {T}, Sacrifice X other creatures: Return X target creature cards from your graveyard to the battlefield.
{5}{B}{B}: Put Champion of Stray Souls on top of your library from your graveyard.",198
"1352","Fate Unraveler","normal",4,3,4,2014,"['B']","Whenever an opponent draws a card, Fate Unraveler deals 1 damage to that player.",80
"1353","Felhide Brawler","normal",2,2,2,2014,"['B']","Felhide Brawler can't block unless you control another Minotaur.",64
"1354","Forlorn Pseudamma","normal",4,2,1,2014,"['B']","Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
Inspired — Whenever Forlorn Pseudamma becomes untapped, you may pay {2}{B}. If you do, create a 2/2 black Zombie enchantment creature token.",258
"1355","Forsaken Drifters","normal",4,4,2,2014,"['B']","When Forsaken Drifters dies, mill four cards.",45
"1356","Herald of Torment","normal",3,3,3,2014,"['B']","Bestow {3}{B}{B} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
Flying
At the beginning of your upkeep, you lose 1 life.
Enchanted creature gets +3/+3 and has flying.",270
"1357","Marshmist Titan","normal",7,4,5,2014,"['B']","This spell costs {X} less to cast, where X is your devotion to black. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.)",162
"1358","Nyxborn Eidolon","normal",2,2,1,2014,"['B']","Bestow {4}{B} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
Enchanted creature gets +2/+1.",195
"1359","Odunos River Trawler","normal",3,2,2,2014,"['B', 'W']","When Odunos River Trawler enters the battlefield, return target enchantment creature card from your graveyard to your hand.
{W}, Sacrifice Odunos River Trawler: Return target enchantment creature card from your graveyard to your hand.",234
"1360","Servant of Tymaret","normal",3,1,3,2014,"['B']","Inspired — Whenever Servant of Tymaret becomes untapped, each opponent loses 1 life. You gain life equal to the life lost this way.
{2}{B}: Regenerate Servant of Tymaret.",170
"1361","Shrike Harpy","normal",5,2,2,2014,"['B']","Flying
Tribute 2 (As this creature enters the battlefield, an opponent of your choice may put two +1/+1 counters on it.)
When Shrike Harpy enters the battlefield, if tribute wasn't paid, target opponent sacrifices a creature.",225
"1362","Spiteful Returned","normal",2,1,1,2014,"['B']","Bestow {3}{B} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
Whenever Spiteful Returned or enchanted creature attacks, defending player loses 2 life.
Enchanted creature gets +1/+1.",284
"1363","Warchanter of Mogis","normal",5,3,3,2014,"['B']","Inspired — Whenever Warchanter of Mogis becomes untapped, target creature you control gains intimidate until end of turn. (A creature with intimidate can't be blocked except by artifact creatures and/or creatures that share a color with it.)",241
"1364","Akroan Conscriptor","normal",5,3,2,2014,"['R']","Heroic — Whenever you cast a spell that targets Akroan Conscriptor, gain control of another target creature until end of turn. Untap that creature. It gains haste until end of turn.",181
"1365","Archetype of Aggression","normal",3,3,2,2014,"['R']","Creatures you control have trample.
Creatures your opponents control lose trample and can't have or gain trample.",113
"1366","Cyclops of One-Eyed Pass","normal",4,5,2,2014,"['R']","",0
"1367","Everflame Eidolon","normal",2,1,1,2014,"['R']","Bestow {2}{R} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
{R}: Everflame Eidolon gets +1/+0 until end of turn. If it's an Aura, enchanted creature gets +1/+0 until end of turn instead.
Enchanted creature gets +1/+1.",322
"1368","Felhide Spiritbinder","normal",4,3,4,2014,"['R']","Inspired — Whenever Felhide Spiritbinder becomes untapped, you may pay {1}{R}. If you do, create a token that's a copy of another target creature, except it's an enchantment in addition to its other types. It gains haste. Exile it at the beginning of the next end step.",269
"1369","Flame-Wreathed Phoenix","normal",4,3,3,2014,"['R']","Flying
Tribute 2 (As this creature enters the battlefield, an opponent of your choice may put two +1/+1 counters on it.)
When Flame-Wreathed Phoenix enters the battlefield, if tribute wasn't paid, it gains haste and ""When this creature dies, return it to its owner's hand.""",273
"1370","Impetuous Sunchaser","normal",2,1,1,2014,"['R']","Flying, haste
Impetuous Sunchaser attacks each combat if able.",62
"1371","Kragma Butcher","normal",3,2,3,2014,"['R']","Inspired — Whenever Kragma Butcher becomes untapped, it gets +2/+0 until end of turn.",85
"1372","Nyxborn Rollicker","normal",1,1,1,2014,"['R']","Bestow {1}{R} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
Enchanted creature gets +1/+1.",195
"1373","Oracle of Bones","normal",4,3,1,2014,"['R']","Haste
Tribute 2 (As this creature enters the battlefield, an opponent of your choice may put two +1/+1 counters on it.)
When Oracle of Bones enters the battlefield, if tribute wasn't paid, you may cast an instant or sorcery spell from your hand without paying its mana cost.",274
"1374","Pharagax Giant","normal",5,3,3,2014,"['R']","Tribute 2 (As this creature enters the battlefield, an opponent of your choice may put two +1/+1 counters on it.)
When Pharagax Giant enters the battlefield, if tribute wasn't paid, Pharagax Giant deals 5 damage to each opponent.",229
"1375","Reckless Reveler","normal",2,2,1,2014,"['R']","{R}, Sacrifice Reckless Reveler: Destroy target artifact.",57
"1376","Satyr Firedancer","normal",2,1,1,2014,"['R']","Whenever an instant or sorcery spell you control deals damage to an opponent, Satyr Firedancer deals that much damage to target creature that player controls.",158
"1377","Satyr Nyx-Smith","normal",3,2,1,2014,"['R']","Haste
Inspired — Whenever Satyr Nyx-Smith becomes untapped, you may pay {2}{R}. If you do, create a 3/1 red Elemental enchantment creature token with haste.",156
"1378","Stormcaller of Keranos","normal",3,2,2,2014,"['R', 'U']","Haste
{1}{U}: Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)",114
"1379","Thunder Brute","normal",6,5,5,2014,"['R']","Trample
Tribute 3 (As this creature enters the battlefield, an opponent of your choice may put three +1/+1 counters on it.)
When Thunder Brute enters the battlefield, if tribute wasn't paid, it gains haste until end of turn.",224
"1380","Archetype of Endurance","normal",8,6,5,2014,"['G']","Creatures you control have hexproof.
Creatures your opponents control lose hexproof and can't have or gain hexproof.",116
"1381","Charging Badger","normal",1,1,1,2014,"['G']","Trample",7
"1382","Graverobber Spider","normal",4,2,4,2014,"['B', 'G']","Reach
{3}{B}: Graverobber Spider gets +X/+X until end of turn, where X is the number of creature cards in your graveyard. Activate only once each turn.",151
"1383","Hero of Leina Tower","normal",1,1,1,2014,"['G']","Heroic — Whenever you cast a spell that targets Hero of Leina Tower, you may pay {X}. If you do, put X +1/+1 counters on Hero of Leina Tower.",141
"1384","Nessian Demolok","normal",5,3,3,2014,"['G']","Tribute 3 (As this creature enters the battlefield, an opponent of your choice may put three +1/+1 counters on it.)
When Nessian Demolok enters the battlefield, if tribute wasn't paid, destroy target noncreature permanent.",222
"1385","Noble Quarry","normal",3,1,1,2014,"['G']","Bestow {5}{G} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
All creatures able to block Noble Quarry or enchanted creature do so.
Enchanted creature gets +1/+1.",265
"1386","Nyxborn Wolf","normal",3,3,1,2014,"['G']","Bestow {4}{G} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
Enchanted creature gets +3/+1.",195
"1387","Pheres-Band Raiders","normal",6,5,5,2014,"['G']","Inspired — Whenever Pheres-Band Raiders becomes untapped, you may pay {2}{G}. If you do, create a 3/3 green Centaur enchantment creature token.",143
"1388","Pheres-Band Tromper","normal",4,3,3,2014,"['G']","Inspired — Whenever Pheres-Band Tromper becomes untapped, put a +1/+1 counter on it.",84
"1389","Satyr Wayfinder","normal",2,1,1,2014,"['G']","When Satyr Wayfinder enters the battlefield, reveal the top four cards of your library. You may put a land card from among them into your hand. Put the rest into your graveyard.",177
"1390","Scourge of Skola Vale","normal",3,0,0,2014,"['G']","Trample
Scourge of Skola Vale enters the battlefield with two +1/+1 counters on it.
{T}, Sacrifice another creature: Put a number of +1/+1 counters on Scourge of Skola Vale equal to the sacrificed creature's toughness.",218
"1391","Setessan Oathsworn","normal",3,1,1,2014,"['G']","Heroic — Whenever you cast a spell that targets Setessan Oathsworn, put two +1/+1 counters on Setessan Oathsworn.",113
"1392","Setessan Starbreaker","normal",4,2,1,2014,"['G']","When Setessan Starbreaker enters the battlefield, you may destroy target Aura.",78
"1393","Snake of the Golden Grove","normal",5,4,4,2014,"['G']","Tribute 3 (As this creature enters the battlefield, an opponent of your choice may put three +1/+1 counters on it.)
When Snake of the Golden Grove enters the battlefield, if tribute wasn't paid, you gain 4 life.",211
"1394","Swordwise Centaur","normal",2,3,2,2014,"['G']","",0
"1395","Chromanticore","normal",5,4,4,2014,"['B', 'G', 'R', 'U', 'W']","Bestow {2}{W}{U}{B}{R}{G} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
Flying, first strike, vigilance, trample, lifelink
Enchanted creature gets +4/+4 and has flying, first strike, vigilance, trample, and lifelink.",321
"1396","Ephara, God of the Polis","normal",4,6,5,2014,"['U', 'W']","Indestructible
As long as your devotion to white and blue is less than seven, Ephara isn't a creature.
At the beginning of each upkeep, if you had another creature enter the battlefield under your control last turn, draw a card.",228
"1397","Mogis, God of Slaughter","normal",4,7,5,2014,"['B', 'R']","Indestructible
As long as your devotion to black and red is less than seven, Mogis isn't a creature.
At the beginning of each opponent's upkeep, Mogis deals 2 damage to that player unless they sacrifice a creature.",214
"1398","Phenax, God of Deception","normal",5,4,7,2014,"['B', 'U']","Indestructible
As long as your devotion to blue and black is less than seven, Phenax isn't a creature.
Creatures you control have ""{T}: Target player mills X cards, where X is this creature's toughness.""",203
"1399","Ragemonger","normal",3,2,3,2014,"['B', 'R']","Minotaur spells you cast cost {B}{R} less to cast. This effect reduces only the amount of colored mana you pay. (For example, if you cast a Minotaur spell with mana cost {2}{R}, it costs {2} to cast.)",200
"1400","Siren of the Silent Song","normal",3,2,1,2014,"['B', 'U']","Flying
Inspired — Whenever Siren of the Silent Song becomes untapped, each opponent discards a card, then each opponent mills a card.",133
"1401","Pillar of War","normal",3,3,3,2014,"","Defender
As long as Pillar of War is enchanted, it can attack as though it didn't have defender.",96
"1402","Empty-Shrine Kannushi","normal",1,1,1,2005,"['W']","Empty-Shrine Kannushi has protection from the colors of permanents you control.",79
"1403","Hokori, Dust Drinker","normal",4,2,2,2005,"['W']","Lands don't untap during their controllers' untap steps.
At the beginning of each player's upkeep, that player untaps a land they control.",138
"1404","Indebted Samurai","normal",4,2,3,2005,"['W']","Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)
Whenever a Samurai you control dies, you may put a +1/+1 counter on Indebted Samurai.",180
"1405","Kami of False Hope","normal",1,1,1,2005,"['W']","Sacrifice Kami of False Hope: Prevent all combat damage that would be dealt this turn.",86
"1406","Kami of Tattered Shoji","normal",5,2,5,2005,"['W']","Whenever you cast a Spirit or Arcane spell, Kami of Tattered Shoji gains flying until end of turn.",98
"1407","Kami of the Honored Dead","normal",7,3,5,2005,"['W']","Flying
Whenever Kami of the Honored Dead is dealt damage, you gain that much life.
Soulshift 6 (When this creature dies, you may return target Spirit card with mana value 6 or less from your graveyard to your hand.)",215
"1408","Kentaro, the Smiling Cat","normal",2,2,1,2005,"['W']","Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)
You may pay {X} rather than pay the mana cost for Samurai spells you cast, where X is that spell's mana value.",205
"1409","Kitsune Palliator","normal",3,0,2,2005,"['W']","{T}: Prevent the next 1 damage that would be dealt to each creature and each player this turn.",94
"1410","Moonlit Strider","normal",4,1,4,2005,"['W']","Sacrifice Moonlit Strider: Target creature you control gains protection from the color of your choice until end of turn.
Soulshift 3 (When this creature dies, you may return target Spirit card with mana value 3 or less from your graveyard to your hand.)",253
"1411","Opal-Eye, Konda's Yojimbo","normal",3,1,4,2005,"['W']","Defender (This creature can't attack.)
Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)
{T}: The next time a source of your choice would deal damage this turn, that damage is dealt to Opal-Eye, Konda's Yojimbo instead.
{1}{W}: Prevent the next 1 damage that would be dealt to Opal-Eye this turn.",341
"1412","Oyobi, Who Split the Heavens","normal",7,3,6,2005,"['W']","Flying
Whenever you cast a Spirit or Arcane spell, create a 3/3 white Spirit creature token with flying.",104
"1413","Patron of the Kitsune","normal",6,5,6,2005,"['W']","Fox offering (You may cast this card any time you could cast an instant by sacrificing a Fox and paying the difference in mana costs between this and the sacrificed Fox. Mana cost includes color.)
Whenever a creature attacks, you may gain 1 life.",246
"1414","Silverstorm Samurai","normal",6,3,3,2005,"['W']","Flash
Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)",100
"1415","Split-Tail Miko","normal",2,1,1,2005,"['W']","{W}, {T}: Prevent the next 2 damage that would be dealt to any target this turn.",80
"1416","Takeno's Cavalry","normal",4,1,1,2005,"['W']","Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)
{T}: Takeno's Cavalry deals 1 damage to target attacking or blocking Spirit.",171
"1417","Tallowisp","normal",2,1,3,2005,"['W']","Whenever you cast a Spirit or Arcane spell, you may search your library for an Aura card with enchant creature, reveal it, put it into your hand, then shuffle.",159
"1418","Waxmane Baku","normal",3,2,2,2005,"['W']","Whenever you cast a Spirit or Arcane spell, you may put a ki counter on Waxmane Baku.
{1}, Remove X ki counters from Waxmane Baku: Tap X target creatures.",154
"1419","Yomiji, Who Bars the Way","normal",7,4,4,2005,"['W']","Whenever a legendary permanent other than Yomiji, Who Bars the Way is put into a graveyard from the battlefield, return that card to its owner's hand.",150
